mmsi1,mmsi2,start_time,out_time
257566600,258503000,2024-01-03 00:08:00+00:00,2024-01-03 00:26:00+00:00
257459500,258083000,2024-01-12 19:56:00+00:00,2024-01-12 20:06:00+00:00
259508000,259655000,2024-01-13 22:14:00+00:00,2024-01-13 22:24:00+00:00
257497500,257722500,2024-01-17 14:26:00+00:00,2024-01-17 14:38:00+00:00
257497500,257722500,2024-01-17 14:58:00+00:00,2024-01-17 15:08:00+00:00
257497500,257722500,2024-01-17 15:36:00+00:00,2024-01-17 15:50:00+00:00
257497500,257722500,2024-01-17 16:22:00+00:00,2024-01-17 16:32:00+00:00
257497500,257722500,2024-01-17 16:44:00+00:00,2024-01-17 17:00:00+00:00
257497500,257722500,2024-01-17 17:02:00+00:00,2024-01-17 17:28:00+00:00
257497500,257722500,2024-01-17 18:10:00+00:00,2024-01-17 18:24:00+00:00
257497500,257722500,2024-01-17 18:46:00+00:00,2024-01-17 18:56:00+00:00
257497500,257722500,2024-01-17 19:50:00+00:00,2024-01-17 20:08:00+00:00
257497500,257722500,2024-01-17 21:12:00+00:00,2024-01-17 21:22:00+00:00
257497500,257722500,2024-01-17 21:24:00+00:00,2024-01-17 22:00:00+00:00
257497500,257722500,2024-01-17 22:02:00+00:00,2024-01-17 22:14:00+00:00
257497500,257722500,2024-01-17 22:36:00+00:00,2024-01-17 22:48:00+00:00
257497500,257722500,2024-01-17 23:04:00+00:00,2024-01-17 23:24:00+00:00
257497500,257722500,2024-01-17 23:26:00+00:00,2024-01-17 23:38:00+00:00
257497500,257722500,2024-01-17 23:42:00+00:00,2024-01-18 00:02:00+00:00
257497500,257722500,2024-01-18 00:34:00+00:00,2024-01-18 00:44:00+00:00
257497500,257722500,2024-01-18 00:46:00+00:00,2024-01-18 00:58:00+00:00
257497500,257722500,2024-01-18 01:00:00+00:00,2024-01-18 01:16:00+00:00
257497500,257722500,2024-01-18 01:18:00+00:00,2024-01-18 01:52:00+00:00
257497500,257722500,2024-01-18 02:02:00+00:00,2024-01-18 02:18:00+00:00
257497500,257722500,2024-01-18 03:06:00+00:00,2024-01-18 03:20:00+00:00
257497500,257722500,2024-01-18 03:40:00+00:00,2024-01-18 03:50:00+00:00
257497500,257722500,2024-01-21 18:18:00+00:00,2024-01-21 18:32:00+00:00
257497500,257722500,2024-01-21 19:10:00+00:00,2024-01-21 19:40:00+00:00
257497500,257722500,2024-01-21 19:48:00+00:00,2024-01-21 20:00:00+00:00
257497500,257722500,2024-01-21 20:22:00+00:00,2024-01-21 20:40:00+00:00
257497500,257722500,2024-01-21 20:42:00+00:00,2024-01-21 20:54:00+00:00
257497500,257722500,2024-01-21 20:56:00+00:00,2024-01-21 21:12:00+00:00
257497500,257722500,2024-01-21 21:38:00+00:00,2024-01-21 22:50:00+00:00
257497500,257722500,2024-01-21 22:52:00+00:00,2024-01-21 23:28:00+00:00
257497500,257722500,2024-01-21 23:30:00+00:00,2024-01-21 23:42:00+00:00
257497500,257722500,2024-01-22 00:46:00+00:00,2024-01-22 00:56:00+00:00
257497500,257722500,2024-01-22 02:28:00+00:00,2024-01-22 02:42:00+00:00
257497500,257722500,2024-01-22 02:52:00+00:00,2024-01-22 03:06:00+00:00
257497500,257722500,2024-01-27 04:06:00+00:00,2024-01-27 04:20:00+00:00
257497500,257722500,2024-01-27 11:06:00+00:00,2024-01-27 11:16:00+00:00
257497500,257722500,2024-01-27 11:24:00+00:00,2024-01-27 11:36:00+00:00
257497500,257722500,2024-01-27 11:40:00+00:00,2024-01-27 11:52:00+00:00
257497500,257722500,2024-01-27 11:56:00+00:00,2024-01-27 12:58:00+00:00
257497500,257722500,2024-01-27 13:00:00+00:00,2024-01-27 13:38:00+00:00
257497500,257722500,2024-01-27 13:40:00+00:00,2024-01-27 14:28:00+00:00
257497500,257722500,2024-01-27 14:44:00+00:00,2024-01-27 14:58:00+00:00
257497500,257722500,2024-01-27 15:06:00+00:00,2024-01-27 15:16:00+00:00
257497500,257722500,2024-01-27 15:32:00+00:00,2024-01-27 15:42:00+00:00
257497500,257722500,2024-01-27 15:44:00+00:00,2024-01-27 16:08:00+00:00
257497500,257722500,2024-01-27 23:46:00+00:00,2024-01-27 23:56:00+00:00
257497500,257722500,2024-01-27 23:58:00+00:00,2024-01-28 00:10:00+00:00
257497500,257722500,2024-01-28 11:30:00+00:00,2024-01-28 11:44:00+00:00
257497500,257722500,2024-01-28 11:46:00+00:00,2024-01-28 12:18:00+00:00
257497500,257722500,2024-01-28 12:28:00+00:00,2024-01-28 14:10:00+00:00
257497500,257722500,2024-01-28 14:12:00+00:00,2024-01-28 14:24:00+00:00
257497500,257722500,2024-01-28 14:26:00+00:00,2024-01-28 17:36:00+00:00
257497500,257722500,2024-01-28 17:38:00+00:00,2024-01-28 17:50:00+00:00
257497500,257722500,2024-01-28 17:52:00+00:00,2024-01-28 18:46:00+00:00
257497500,257722500,2024-01-28 18:50:00+00:00,2024-01-28 19:22:00+00:00
257497500,257722500,2024-01-28 19:24:00+00:00,2024-01-28 19:34:00+00:00
257497500,257722500,2024-01-28 19:46:00+00:00,2024-01-28 20:00:00+00:00
257497500,257722500,2024-01-28 20:12:00+00:00,2024-01-28 20:42:00+00:00
257497500,257722500,2024-01-28 20:54:00+00:00,2024-01-28 21:12:00+00:00
257497500,257722500,2024-01-28 21:20:00+00:00,2024-01-28 21:50:00+00:00
257497500,257722500,2024-01-28 21:52:00+00:00,2024-01-28 22:36:00+00:00
257497500,257722500,2024-01-28 22:38:00+00:00,2024-01-28 23:30:00+00:00
257497500,257722500,2024-01-28 23:32:00+00:00,2024-01-29 02:16:00+00:00
257497500,257722500,2024-01-29 02:26:00+00:00,2024-01-29 03:40:00+00:00
257497500,257722500,2024-01-29 03:42:00+00:00,2024-01-29 03:56:00+00:00
257497500,257722500,2024-01-29 03:58:00+00:00,2024-01-29 04:20:00+00:00
257497500,257722500,2024-01-29 04:34:00+00:00,2024-01-29 04:44:00+00:00
257497500,257722500,2024-01-29 04:46:00+00:00,2024-01-29 05:00:00+00:00
257497500,257722500,2024-01-29 06:00:00+00:00,2024-01-29 06:10:00+00:00
257497500,257722500,2024-01-29 07:26:00+00:00,2024-01-29 07:36:00+00:00
257497500,257722500,2024-01-29 07:42:00+00:00,2024-01-29 07:54:00+00:00
257497500,257722500,2024-01-29 08:20:00+00:00,2024-01-29 08:36:00+00:00
257497500,257722500,2024-01-29 08:46:00+00:00,2024-01-29 08:56:00+00:00
257497500,257722500,2024-01-29 09:06:00+00:00,2024-01-29 09:22:00+00:00
257497500,257722500,2024-01-29 09:40:00+00:00,2024-01-29 09:50:00+00:00
257497500,257722500,2024-01-29 09:56:00+00:00,2024-01-29 10:38:00+00:00
257497500,257722500,2024-01-29 11:02:00+00:00,2024-01-29 11:16:00+00:00
257497500,257722500,2024-01-29 11:34:00+00:00,2024-01-29 11:46:00+00:00
257497500,257722500,2024-01-29 11:48:00+00:00,2024-01-29 12:28:00+00:00
257497500,257722500,2024-01-29 12:34:00+00:00,2024-01-29 12:44:00+00:00
257497500,257722500,2024-01-29 12:46:00+00:00,2024-01-29 12:58:00+00:00
257497500,257722500,2024-01-29 13:00:00+00:00,2024-01-29 13:54:00+00:00
257497500,257722500,2024-01-29 13:56:00+00:00,2024-01-29 14:40:00+00:00
257497500,257722500,2024-01-29 14:44:00+00:00,2024-01-29 15:06:00+00:00
257497500,257722500,2024-01-29 15:14:00+00:00,2024-01-29 16:20:00+00:00
257497500,257722500,2024-01-29 16:22:00+00:00,2024-01-29 16:40:00+00:00
257497500,257722500,2024-01-29 16:44:00+00:00,2024-01-29 16:56:00+00:00
257497500,257722500,2024-01-30 11:46:00+00:00,2024-01-30 11:58:00+00:00
257497500,257722500,2024-01-30 12:18:00+00:00,2024-01-30 12:32:00+00:00
257497500,257722500,2024-01-30 12:52:00+00:00,2024-01-30 13:04:00+00:00
257497500,257722500,2024-01-30 13:20:00+00:00,2024-01-30 13:30:00+00:00
257497500,257722500,2024-01-30 13:32:00+00:00,2024-01-30 13:46:00+00:00
257497500,257722500,2024-01-30 14:12:00+00:00,2024-01-30 14:34:00+00:00
257497500,257722500,2024-01-30 14:46:00+00:00,2024-01-30 15:12:00+00:00
257497500,257722500,2024-01-30 15:22:00+00:00,2024-01-30 15:34:00+00:00
257497500,257722500,2024-01-30 17:18:00+00:00,2024-01-30 17:28:00+00:00
257497500,257722500,2024-01-30 18:36:00+00:00,2024-01-30 18:56:00+00:00
257497500,257722500,2024-01-30 19:10:00+00:00,2024-01-30 19:32:00+00:00
257497500,257722500,2024-01-30 19:34:00+00:00,2024-01-30 20:08:00+00:00
257497500,257722500,2024-01-30 20:10:00+00:00,2024-01-30 20:28:00+00:00
257497500,257722500,2024-01-30 20:36:00+00:00,2024-01-30 21:00:00+00:00
257497500,257722500,2024-01-30 21:04:00+00:00,2024-01-30 21:32:00+00:00
257497500,257722500,2024-01-30 21:40:00+00:00,2024-01-30 22:20:00+00:00
257497500,257722500,2024-01-30 22:22:00+00:00,2024-01-30 22:32:00+00:00
257497500,257722500,2024-01-31 02:56:00+00:00,2024-01-31 03:08:00+00:00
257497500,257722500,2024-01-31 03:18:00+00:00,2024-01-31 03:28:00+00:00
257497500,257722500,2024-01-31 12:32:00+00:00,2024-01-31 12:44:00+00:00
257497500,257722500,2024-01-31 13:12:00+00:00,2024-01-31 13:22:00+00:00
257497500,257722500,2024-01-31 13:28:00+00:00,2024-01-31 15:38:00+00:00
257497500,257722500,2024-01-31 15:40:00+00:00,2024-01-31 16:00:00+00:00
257497500,257722500,2024-01-31 16:02:00+00:00,2024-01-31 17:38:00+00:00
257497500,257722500,2024-01-31 17:40:00+00:00,2024-01-31 17:56:00+00:00
257497500,257722500,2024-01-31 18:02:00+00:00,2024-01-31 18:58:00+00:00
257497500,257722500,2024-01-31 19:00:00+00:00,2024-01-31 19:40:00+00:00
257497500,257722500,2024-01-31 19:46:00+00:00,2024-01-31 19:56:00+00:00
257497500,257722500,2024-01-31 19:58:00+00:00,2024-01-31 20:14:00+00:00
257497500,257722500,2024-01-31 20:24:00+00:00,2024-01-31 20:38:00+00:00
257497500,257722500,2024-01-31 21:36:00+00:00,2024-01-31 21:52:00+00:00
257497500,257722500,2024-01-31 21:58:00+00:00,2024-01-31 22:22:00+00:00
257497500,257722500,2024-01-31 22:30:00+00:00,2024-01-31 23:46:00+00:00
257497500,257722500,2024-01-31 23:48:00+00:00,2024-02-01 00:00:00+00:00
