mmsi1,mmsi2,run_id,start_time,end_time,n_points
259335000,259655000,1,2024-01-20 17:20:00,2024-01-20 18:10:00,6
257574600,258559000,1,2024-01-23 19:40:00,2024-01-23 20:30:00,6
257032500,259281000,1,2024-01-13 10:20:00,2024-01-13 11:00:00,5
257578600,257850500,1,2024-01-15 22:20:00,2024-01-15 23:00:00,5
257214000,257584600,2,2024-01-09 18:20:00,2024-01-09 18:50:00,4
257497500,257722500,44,2024-01-31 15:40:00,2024-01-31 16:10:00,4
259503000,259637000,1,2024-01-10 09:00:00,2024-01-10 09:20:00,3
257497500,257722500,28,2024-01-29 15:30:00,2024-01-29 15:50:00,3
259508000,259655000,1,2024-01-20 14:10:00,2024-01-20 14:30:00,3
257102000,259508000,1,2024-01-23 21:50:00,2024-01-23 22:10:00,3
257128000,259205000,1,2024-01-10 16:30:00,2024-01-10 16:50:00,3
257128000,259205000,3,2024-01-13 16:30:00,2024-01-13 16:50:00,3
257149000,257578600,1,2024-01-10 04:20:00,2024-01-10 04:40:00,3
257177000,259655000,1,2024-01-16 14:50:00,2024-01-16 15:00:00,2
257564600,258559000,1,2024-01-24 05:10:00,2024-01-24 05:20:00,2
258559000,259637000,1,2024-01-18 20:20:00,2024-01-18 20:30:00,2
258116000,259166000,1,2024-01-15 13:40:00,2024-01-15 13:50:00,2
257946000,259281000,2,2024-01-22 03:40:00,2024-01-22 03:50:00,2
257757000,259108000,1,2024-01-20 18:40:00,2024-01-20 18:50:00,2
257578600,259620000,1,2024-01-15 22:00:00,2024-01-15 22:10:00,2
257129340,257584600,1,2024-01-12 23:00:00,2024-01-12 23:10:00,2
257566600,258503000,1,2024-01-03 00:10:00,2024-01-03 00:20:00,2
257129340,259655000,2,2024-01-13 11:30:00,2024-01-13 11:40:00,2
257497500,257722500,2,2024-01-27 09:40:00,2024-01-27 09:50:00,2
257497500,257722500,43,2024-01-31 15:00:00,2024-01-31 15:10:00,2
257497500,257722500,24,2024-01-29 11:40:00,2024-01-29 11:50:00,2
257089000,259428000,1,2024-01-17 08:10:00,2024-01-17 08:20:00,2
257497500,257722500,16,2024-01-29 03:10:00,2024-01-29 03:20:00,2
257497500,257722500,14,2024-01-29 02:20:00,2024-01-29 02:30:00,2
257497500,257722500,13,2024-01-29 01:30:00,2024-01-29 01:40:00,2
257497500,257722500,12,2024-01-29 01:00:00,2024-01-29 01:10:00,2
257497500,257722500,7,2024-01-27 14:20:00,2024-01-27 14:30:00,2
257497500,257722500,5,2024-01-27 12:50:00,2024-01-27 13:00:00,2
257497500,257722500,17,2024-01-29 03:40:00,2024-01-29 03:50:00,2
