mmsi1,mmsi2,callsign1,callsign2,start_time,end_time,n_points,pair
259335000,259655000,LKLV,LLAS,2024-01-20 17:20:00,2024-01-20 18:10:00,6,"('LKLV', 'LLAS')"
257574600,258559000,LLQX,LCGV,2024-01-23 19:40:00,2024-01-23 20:30:00,6,"('LCGV', 'LLQX')"
257578600,257850500,LLWG,LDIW,2024-01-15 22:20:00,2024-01-15 23:00:00,5,"('LDIW', 'LLWG')"
257214000,257584600,LALD,LMCW,2024-01-09 18:20:00,2024-01-09 18:50:00,4,"('LALD', 'LMCW')"
257128000,259205000,LCJG,LADH,2024-01-13 16:30:00,2024-01-13 16:50:00,3,"('LADH', 'LCJG')"
257128000,259205000,LCJG,LADH,2024-01-10 16:30:00,2024-01-10 16:50:00,3,"('LADH', 'LCJG')"
257089000,259428000,3YMI,LIRW,2024-01-17 08:10:00,2024-01-17 08:20:00,2,"('3YMI', 'LIRW')"
258116000,259166000,JXUE,LHEA,2024-01-15 13:40:00,2024-01-15 13:50:00,2,"('JXUE', 'LHEA')"
258559000,259637000,LCGV,LJZH,2024-01-18 20:20:00,2024-01-18 20:30:00,2,"('LCGV', 'LJZH')"
