Meldingstidspunkt,Radiokallesignal (ERS),Fartøynavn (ERS),Aktivitet,Starttidspunkt,Startposisjon bredde,Startposisjon lengde,Stopptidspunkt,Varighet,Pumpet fra fartøy
05.01.2024 20:12:00,LDIW,Fugløyfjell,Omlokalisering av fangst / overpumping,05.01.2024 18:00:00,69.972,21.824,05.01.2024 19:30:00,90.0,LLAV
06.01.2024 07:30:00,LDIW,Fugløyfjell,Omlokalisering av fangst / overpumping,06.01.2024 06:30:00,70.019,21.783,06.01.2024 07:25:00,55.0,LJDJ
06.01.2024 10:08:00,LADH,Albacore,Omlokalisering av fangst / overpumping,06.01.2024 09:32:00,70.033,21.8,06.01.2024 09:51:00,19.0,LLLP
09.01.2024 19:00:00,LMCW,Marie,Omlokalisering av fangst / overpumping,09.01.2024 17:58:00,70.1,21.5,09.01.2024 18:52:00,54.0,LALD
10.01.2024 17:00:00,LADH,Albacore,Omlokalisering av fangst / overpumping,10.01.2024 16:22:00,70.017,21.817,10.01.2024 16:51:00,29.0,LCJG
11.01.2024 17:40:00,LDIW,Fugløyfjell,Omlokalisering av fangst / overpumping,11.01.2024 17:35:00,70.056,21.613,11.01.2024 17:35:00,0.0,LEYN
15.01.2024 15:29:00,JXUE,Ola Ryggefjord,Omlokalisering av fangst / overpumping,15.01.2024 11:08:00,70.5,20.967,15.01.2024 11:42:00,34.0,LJOD
15.01.2024 15:30:00,JXUE,Ola Ryggefjord,Omlokalisering av fangst / overpumping,15.01.2024 13:30:00,70.517,21.017,15.01.2024 14:30:00,60.0,LHEA
15.01.2024 23:12:00,LDIW,Fugløyfjell,Omlokalisering av fangst / overpumping,15.01.2024 23:09:00,70.216,23.042,15.01.2024 23:10:00,1.0,LLWG
16.01.2024 16:08:00,LADH,Albacore,Omlokalisering av fangst / overpumping,16.01.2024 14:19:00,70.05,21.767,16.01.2024 14:57:00,38.0,LJOB
17.01.2024 13:15:00,3YMI,Krossøy,Omlokalisering av fangst / overpumping,17.01.2024 08:00:00,58.7,3.767,17.01.2024 08:52:00,52.0,LIRW
18.01.2024 21:40:00,LCGV,Edna Synnøve,Omlokalisering av fangst / overpumping,18.01.2024 20:20:00,70.233,22.567,18.01.2024 20:40:00,20.0,LJZH
18.01.2024 21:59:00,LCGV,Edna Synnøve,Omlokalisering av fangst / overpumping,17.01.2024 23:44:00,70.133,20.983,18.01.2024 00:03:00,19.0,3YKA
20.01.2024 18:56:00,LKLV,Lønningen,Omlokalisering av fangst / overpumping,20.01.2024 17:10:00,70.267,23.15,20.01.2024 18:17:00,67.0,LLAS
24.01.2024 05:46:00,LCGV,Edna Synnøve,Omlokalisering av fangst / overpumping,23.01.2024 19:35:00,70.317,22.2,23.01.2024 20:30:00,55.0,LLQX
26.01.2024 03:01:00,LJZH,Arnøytind Senior,Omlokalisering av fangst / overpumping,26.01.2024 02:01:00,70.25,22.517,26.01.2024 02:01:00,0.0,3YMI
03.03.2024 19:10:00,LMCW,Marie,Omlokalisering av fangst / overpumping,03.03.2024 18:35:00,71.217,22.35,03.03.2024 19:00:00,25.0,LJTV
03.03.2024 20:58:00,LMCW,Marie,Omlokalisering av fangst / overpumping,03.03.2024 19:11:00,71.217,22.35,03.03.2024 19:54:00,43.0,LJYA
07.03.2024 20:04:00,LHEA,Elisabeth,Omlokalisering av fangst / overpumping,07.03.2024 19:04:00,70.35,17.717,07.03.2024 19:30:00,26.0,LMBX
13.07.2024 16:59:00,LADH,Albacore,Omlokalisering av fangst / overpumping,13.07.2024 16:36:00,68.4,14.367,13.07.2024 16:54:00,18.0,LK6692
30.09.2024 06:33:00,LCGV,Edna Synnøve,Omlokalisering av fangst / overpumping,30.09.2024 04:20:00,60.4,4.95,30.09.2024 04:43:00,23.0,LJTV
